,NOC
2,AIN
5,AND
6,ANG
7,ANT
11,ARU
12,ASA
17,BAN
21,BEN
23,BHU
24,BIZ
27,BOL
34,CAY
35,CHA
40,COK
42,COM
46,CRT
58,ESA
70,GEQ
76,GUI
77,GUM
81,HON
85,IOA
99,KIR
105,LBI
107,LBR
109,LES
110,LIB
111,LIE
114,MAD
115,MAL
118,MAW
120,MDV
123,MHL
125,MLI
129,MTN
131,NBO
132,NCA
134,NEP
135,NFL
139,NRU
141,OMA
147,PLE
148,PLW
149,PNG
155,ROT
159,RWA
160,SAA
164,SEY
166,SLE
169,SOL
170,SOM
173,SSD
191,TUV
193,UAR
196,UNK
200,VAN
203,VNM
204,YAR
205,YEM
206,YMD
210,BIH
211,BRU
212,CAF
213,CAM
214,CGO
215,COD
216,FSM
217,GAM
219,GBS
220,IVB
221,LAO
223,MLT
224,MON
225,MYA
226,RHO
227,SKN
228,STP
229,SWZ
230,TLS
231,VIN
232,WIF
